"","join_no","name","avg_assets","num_groups_added","total_members_added","cu_size"
"72",6810,"CAROLINA FOOTHILLS",168276051.8,5,525000,"Mid-Size"
"73",7094,"ENDURANCE",188997117,3,137448,"Mid-Size"
"74",7108,"DEL-ONE",654493525.43,7,6475000,"Mid-Size"
"75",7212,"HOUSTON",907516428,1,2354280,"Mid-Size"
"76",7500,"MAINE SAVINGS",548705028,1,150000,"Mid-Size"
"77",7564,"PEACH STATE",742787175.06,31,20704045,"Mid-Size"
"78",7576,"ONPATH",483220628.17,6,1314000,"Mid-Size"
"79",7616,"TOPSIDE",483553796.5,2,271959,"Mid-Size"
"80",7930,"SAG-AFTRA",380422555,1,280000,"Mid-Size"
"81",7980,"BALTIMORE COUNTY EMPLOYEES",503564781.5,2,189982,"Mid-Size"
"82",8471,"XCEL",202401193,4,420896,"Mid-Size"
"83",8586,"U S POSTAL SERVICE",271591013,1,73000,"Mid-Size"
"84",9573,"UMASSFIVE COLLEGE",615313029,1,81997,"Mid-Size"
"85",9856,"GARDEN SAVINGS",427911928,4,2306294,"Mid-Size"
"86",10325,"PARK VIEW",301134903.25,8,367825,"Mid-Size"
"87",11042,"JOHNS HOPKINS",589158572,2,660726,"Mid-Size"
"88",11198,"P & G MEHOOPANY EMPLOYEES",156282507.44,9,288000,"Mid-Size"
"89",11792,"FIRE POLICE CITY COUNTY",162750601.67,9,166500,"Mid-Size"
"90",12131,"CPM",535635978.75,4,1976452,"Mid-Size"
"91",12277,"SERVICE 1ST",580626322.4,120,58093198,"Mid-Size"
"92",12306,"SOUTHWEST AIRLINES",784119734,1,70000,"Mid-Size"
"93",13623,"CAROLINAS TELCO",578229056.12,41,11918849,"Mid-Size"
"94",14154,"INDUSTRIAL",283879031,2,210000,"Mid-Size"
"95",14162,"NOTRE DAME",890738422.78,89,17800000,"Mid-Size"
"96",14308,"ADVANTAGE",429116464,1,980000,"Mid-Size"
"97",14329,"TELCOE",440680389.33,3,9e+05,"Mid-Size"
"98",14350,"USF FEDERAL CREDIT UNION",984568071.4,5,2697625,"Mid-Size"
"99",14406,"GFA",652878661.98,790,667892070,"Mid-Size"
"100",14425,"SANTA CLARA COUNTY",982215702,1,365461,"Mid-Size"
"101",14595,"FIRST CAPITAL",298326090.39,36,3244116,"Mid-Size"
"102",15964,"GREAT RIVER",243731031.98,40,710452,"Mid-Size"
"103",16827,"TRUE SKY",843605531,2,1220000,"Mid-Size"
"104",17913,"MISSISSIPPI",160732482.67,3,110169,"Mid-Size"
"105",18762,"RIVERLAND",295862483,5,229920,"Mid-Size"
"106",18774,"I.L.W.U.",396734899,2,192440,"Mid-Size"
"107",19821,"CUNJ",419702976,19,15994609,"Mid-Size"
